i,u,c,r,y,d,t,table,class
519125,?,?,?,7,?,?,6,1
334640,?,?,?,?,?,?,2,0
334640,?,?,?,8,?,?,6,0
1270036,?,?,?,?,?,?,2,0
1270036,?,?,?,7,?,?,6,0
596166,?,?,?,?,?,?,2,0
596166,?,?,?,?,0,?,5,0
1657110,?,?,?,?,?,?,2,0
1657110,?,?,?,?,5,?,5,0
?,411004,?,8,?,?,?,1,0
205989,?,?,?,?,?,?,2,1
205989,?,?,?,?,5,?,5,1
441302,?,?,?,?,?,?,2,0
441302,?,?,?,1,?,?,6,0
1971961,?,?,?,?,?,?,2,0
1971961,?,?,?,?,4,?,5,0
1086451,?,?,?,?,?,?,2,1
1086451,?,?,?,9,?,?,6,1
333932,?,?,?,?,?,?,2,1
333932,?,?,?,5,?,?,6,1
826511,?,?,?,?,?,?,2,0
826511,?,?,?,?,7,?,5,0
?,3094773,?,?,?,?,?,1,0
?,1368334,?,?,?,?,?,1,0
?,3094773,?,?,?,?,4,7,0
925153,?,?,?,?,?,?,2,0
925153,?,?,?,5,?,?,6,0
421750,?,17,?,?,?,?,2,0
1552038,?,?,?,?,?,?,2,0
1552038,?,?,?,?,3,?,5,0
?,5939062,?,?,?,?,?,1,0
?,2459456,?,?,?,?,?,1,0
?,5939062,?,?,?,?,5,7,0
?,?,2,?,?,?,?,3,1
647851,?,2,?,?,?,?,2,1
176407,?,?,?,?,?,?,2,1
176407,?,?,?,2,?,?,6,1
1689221,?,?,?,?,?,?,2,1
1689221,?,?,?,0,?,?,6,1
1829841,?,?,?,?,?,?,2,1
1829841,?,?,?,2,?,?,6,1
831211,?,?,?,?,?,?,2,1
831211,?,?,?,4,?,?,6,1
237756,?,?,?,?,?,?,2,1
237756,?,?,?,9,?,?,6,1
335862,?,?,?,?,?,?,2,1
335862,?,?,?,?,3,?,5,1
54392,?,?,?,?,?,?,2,0
54392,?,?,?,?,3,?,5,0
305064,?,?,?,?,?,?,2,0
305064,?,?,?,4,?,?,6,0
?,?,15,?,?,?,?,3,1
1643597,?,15,?,?,?,?,2,1
794529,?,?,?,?,?,?,2,1
794529,?,?,?,?,7,?,5,1
623181,?,?,?,?,?,?,2,1
623181,?,?,?,?,3,?,5,1
1169802,?,?,?,?,?,?,2,1
1169802,?,?,?,?,4,?,5,1
845107,?,?,?,?,?,?,2,0
845107,?,?,?,?,1,?,5,0
931161,?,?,?,?,?,?,2,1
931161,?,?,?,?,8,?,5,1
1038038,?,?,?,?,?,?,2,0
1038038,?,?,?,?,3,?,5,0
1520661,?,?,?,?,?,?,2,1
1520661,?,?,?,?,1,?,5,1
242594,?,?,?,?,?,?,2,1
242594,?,?,?,7,?,?,6,1
24241,?,?,?,?,?,?,2,0
24241,?,?,?,6,?,?,6,0
826770,?,?,?,?,?,?,2,1
826770,?,?,?,?,0,?,5,1
1208077,?,?,?,?,?,?,2,0
1208077,?,?,?,?,1,?,5,0
1664471,?,?,?,?,?,?,2,0
1664471,?,?,?,?,6,?,5,0
1663029,?,?,?,?,?,?,2,0
1663029,?,?,?,9,?,?,6,0
35691,?,?,?,?,?,?,2,0
35691,?,?,?,7,?,?,6,0
490474,?,8,?,?,?,?,2,0
?,1051707,?,?,?,?,?,1,1
?,5522485,?,?,?,?,?,1,1
?,1051707,?,?,?,?,3,7,1
168155,?,?,?,?,?,?,2,1
168155,?,?,?,?,2,?,5,1
1989321,?,?,?,?,?,?,2,1
1989321,?,?,?,?,6,?,5,1
481622,?,?,?,?,?,?,2,0
481622,?,?,?,5,?,?,6,0
1304874,?,?,?,?,?,?,2,0
1304874,?,?,?,7,?,?,6,0
1292161,?,?,?,?,?,?,2,0
1292161,?,?,?,4,?,?,6,0
635905,?,?,?,?,?,?,2,0
635905,?,?,?,8,?,?,6,0
?,144569,?,?,?,?,?,1,0
?,1503164,?,?,?,?,?,1,0
?,144569,?,?,?,?,2,7,0
1460713,?,?,?,?,?,?,2,1
1460713,?,?,?,4,?,?,6,1
1441696,?,?,?,?,?,?,2,0
1441696,?,?,?,7,?,?,6,0
907382,?,?,?,?,?,?,2,1
907382,?,?,?,?,9,?,5,1
1283508,?,?,?,?,?,?,2,1
1283508,?,?,?,4,?,?,6,1
?,?,?,13,?,?,?,4,1
?,5719867,?,13,?,?,?,1,1
601940,?,?,?,?,?,?,2,1
601940,?,?,?,6,?,?,6,1
668013,?,?,?,?,?,?,2,0
668013,?,?,?,?,8,?,5,0
?,?,11,?,?,?,?,3,0
914413,?,11,?,?,?,?,2,0
885509,?,?,?,?,?,?,2,0
885509,?,?,?,9,?,?,6,0
676237,?,?,?,?,?,?,2,0
676237,?,?,?,3,?,?,6,0
?,?,5,?,?,?,?,3,1
765147,?,5,?,?,?,?,2,1
?,?,?,52,?,?,?,4,1
?,5135785,?,52,?,?,?,1,1
1602363,?,?,?,?,?,?,2,0
1602363,?,?,?,?,9,?,5,0
1053918,?,?,?,?,?,?,2,0
1053918,?,?,?,?,9,?,5,0
1858559,?,?,?,?,?,?,2,1
1858559,?,?,?,?,4,?,5,1
616864,?,?,?,?,?,?,2,1
616864,?,?,?,1,?,?,6,1
23064,?,2,?,?,?,?,2,1
1983097,?,?,?,?,?,?,2,1
1983097,?,?,?,8,?,?,6,1
1593322,?,?,?,?,?,?,2,1
1593322,?,?,?,5,?,?,6,1
1542670,?,?,?,?,?,?,2,1
1542670,?,?,?,0,?,?,6,1
1961189,?,?,?,?,?,?,2,0
1961189,?,?,?,5,?,?,6,0
1423893,?,?,?,?,?,?,2,1
1423893,?,?,?,?,3,?,5,1
?,?,?,58,?,?,?,4,1
?,668557,?,58,?,?,?,1,1
431471,?,?,?,?,?,?,2,0
431471,?,?,?,8,?,?,6,0
1734638,?,?,?,?,?,?,2,0
1734638,?,?,?,8,?,?,6,0
1777565,?,?,?,?,?,?,2,1
1777565,?,?,?,?,4,?,5,1
1402700,?,?,?,?,?,?,2,1
1402700,?,?,?,0,?,?,6,1
1777446,?,?,?,?,?,?,2,0
1777446,?,?,?,7,?,?,6,0
1348683,?,?,?,?,?,?,2,0
1348683,?,?,?,3,?,?,6,0
383515,?,?,?,?,?,?,2,1
383515,?,?,?,?,2,?,5,1
1139683,?,?,?,?,?,?,2,1
1139683,?,?,?,?,1,?,5,1
1857150,?,?,?,?,?,?,2,0
1857150,?,?,?,5,?,?,6,0
1947353,?,?,?,?,?,?,2,0
1947353,?,?,?,5,?,?,6,0
661729,?,?,?,?,?,?,2,1
661729,?,?,?,8,?,?,6,1
611371,?,?,?,?,?,?,2,1
611371,?,?,?,?,7,?,5,1
396209,?,?,?,?,?,?,2,1
396209,?,?,?,8,?,?,6,1
31745,?,?,?,?,?,?,2,1
31745,?,?,?,4,?,?,6,1
506144,?,?,?,?,?,?,2,0
506144,?,?,?,?,5,?,5,0
1331073,?,?,?,?,?,?,2,0
1331073,?,?,?,5,?,?,6,0
958301,?,?,?,?,?,?,2,0
958301,?,?,?,?,5,?,5,0
1170753,?,?,?,?,?,?,2,0
1170753,?,?,?,9,?,?,6,0
490091,?,?,?,?,?,?,2,0
490091,?,?,?,9,?,?,6,0
527670,?,?,?,?,?,?,2,0
527670,?,?,?,?,7,?,5,0
30999,?,?,?,?,?,?,2,0
30999,?,?,?,3,?,?,6,0
1129021,?,?,?,?,?,?,2,1
1129021,?,?,?,?,2,?,5,1
888636,?,?,?,?,?,?,2,1
888636,?,?,?,?,0,?,5,1
539841,?,?,?,?,?,?,2,0
539841,?,?,?,?,8,?,5,0
547702,?,?,?,?,?,?,2,0
547702,?,?,?,0,?,?,6,0
415469,?,?,?,?,?,?,2,0
415469,?,?,?,5,?,?,6,0
1492143,?,?,?,?,?,?,2,1
1492143,?,?,?,4,?,?,6,1
795032,?,?,?,?,?,?,2,1
795032,?,?,?,1,?,?,6,1
1684691,?,?,?,?,?,?,2,0
1684691,?,?,?,?,7,?,5,0
1441371,?,?,?,?,?,?,2,1
1441371,?,?,?,?,7,?,5,1
?,5507164,?,?,?,?,?,1,0
?,1987155,?,?,?,?,?,1,0
?,5507164,?,?,?,?,1,7,0
541613,?,?,?,?,?,?,2,0
541613,?,?,?,?,0,?,5,0
1711554,?,?,?,?,?,?,2,0
1711554,?,?,?,?,0,?,5,0
999774,?,?,?,?,?,?,2,0
999774,?,?,?,4,?,?,6,0
793925,?,?,?,?,?,?,2,0
793925,?,?,?,6,?,?,6,0
1153270,?,?,?,?,?,?,2,0
1153270,?,?,?,3,?,?,6,0
1265690,?,?,?,?,?,?,2,1
1265690,?,?,?,6,?,?,6,1
1945248,?,?,?,?,?,?,2,1
1945248,?,?,?,1,?,?,6,1
1086802,?,?,?,?,?,?,2,0
1086802,?,?,?,2,?,?,6,0
?,?,?,15,?,?,?,4,0
?,3568518,?,15,?,?,?,1,0
51940,?,?,?,?,?,?,2,0
51940,?,?,?,?,0,?,5,0
1466541,?,?,?,?,?,?,2,1
1466541,?,?,?,?,9,?,5,1
146530,?,?,?,?,?,?,2,0
146530,?,?,?,?,5,?,5,0
?,5342028,?,?,?,?,?,1,0
?,3564706,?,?,?,?,?,1,0
?,5342028,?,?,?,?,0,7,0
65015,?,?,?,?,?,?,2,0
65015,?,?,?,2,?,?,6,0
1738180,?,?,?,?,?,?,2,0
1738180,?,?,?,2,?,?,6,0
599003,?,?,?,?,?,?,2,0
599003,?,?,?,9,?,?,6,0
1856474,?,?,?,?,?,?,2,1
1856474,?,?,?,1,?,?,6,1
752351,?,?,?,?,?,?,2,0
752351,?,?,?,?,5,?,5,0
?,?,?,18,?,?,?,4,1
?,3026064,?,18,?,?,?,1,1
697975,?,?,?,?,?,?,2,0
697975,?,?,?,8,?,?,6,0
1378031,?,?,?,?,?,?,2,0
1378031,?,?,?,0,?,?,6,0
1626564,?,?,?,?,?,?,2,1
1626564,?,?,?,1,?,?,6,1
738910,?,?,?,?,?,?,2,0
738910,?,?,?,?,8,?,5,0
1999700,?,?,?,?,?,?,2,1
1999700,?,?,?,4,?,?,6,1
?,2783112,?,?,?,?,?,1,1
?,5481536,?,?,?,?,?,1,1
?,2783112,?,?,?,?,7,7,1
1292432,?,?,?,?,?,?,2,1
1292432,?,?,?,4,?,?,6,1
?,4932456,?,58,?,?,?,1,1
411890,?,?,?,?,?,?,2,0
411890,?,?,?,5,?,?,6,0
1961824,?,?,?,?,?,?,2,0
1961824,?,?,?,2,?,?,6,0
1388555,?,?,?,?,?,?,2,0
1388555,?,?,?,?,0,?,5,0
518177,?,?,?,?,?,?,2,1
518177,?,?,?,1,?,?,6,1
1837854,?,?,?,?,?,?,2,1
1837854,?,?,?,2,?,?,6,1
1395475,?,?,?,?,?,?,2,1
1395475,?,?,?,?,1,?,5,1
955010,?,?,?,?,?,?,2,0
955010,?,?,?,7,?,?,6,0
612655,?,?,?,?,?,?,2,0
612655,?,?,?,5,?,?,6,0
1244770,?,?,?,?,?,?,2,1
1244770,?,?,?,?,7,?,5,1
1374290,?,?,?,?,?,?,2,1
1374290,?,?,?,3,?,?,6,1
1434524,?,?,?,?,?,?,2,1
1434524,?,?,?,0,?,?,6,1
?,5429664,?,?,?,?,?,1,1
?,5934161,?,?,?,?,?,1,1
?,5429664,?,?,?,?,9,7,1
1803629,?,?,?,?,?,?,2,0
1803629,?,?,?,0,?,?,6,0
143359,?,?,?,?,?,?,2,1
143359,?,?,?,0,?,?,6,1
1567332,?,?,?,?,?,?,2,1
1567332,?,?,?,7,?,?,6,1
?,?,4,?,?,?,?,3,0
1024687,?,4,?,?,?,?,2,0
1515721,?,?,?,?,?,?,2,1
1515721,?,?,?,5,?,?,6,1
?,777309,?,?,?,?,?,1,1
?,344538,?,?,?,?,?,1,1
?,777309,?,?,?,?,5,7,1
1494248,?,?,?,?,?,?,2,1
1494248,?,?,?,2,?,?,6,1
1863364,?,?,?,?,?,?,2,1
1863364,?,?,?,?,7,?,5,1
1497012,?,?,?,?,?,?,2,1
1497012,?,?,?,4,?,?,6,1
377939,?,?,?,?,?,?,2,0
377939,?,?,?,?,3,?,5,0
668363,?,?,?,?,?,?,2,0
668363,?,?,?,8,?,?,6,0
361540,?,?,?,?,?,?,2,1
361540,?,?,?,2,?,?,6,1
601675,?,?,?,?,?,?,2,1
601675,?,?,?,?,9,?,5,1
255743,?,?,?,?,?,?,2,0
255743,?,?,?,0,?,?,6,0
1550669,?,?,?,?,?,?,2,0
1550669,?,?,?,8,?,?,6,0
1277470,?,?,?,?,?,?,2,1
1277470,?,?,?,6,?,?,6,1
358607,?,?,?,?,?,?,2,0
358607,?,?,?,?,3,?,5,0
1319422,?,?,?,?,?,?,2,0
1319422,?,?,?,?,7,?,5,0
1487332,?,?,?,?,?,?,2,0
1487332,?,?,?,?,7,?,5,0
291192,?,?,?,?,?,?,2,0
291192,?,?,?,?,9,?,5,0
1126207,?,?,?,?,?,?,2,0
1126207,?,?,?,?,8,?,5,0
1184253,?,?,?,?,?,?,2,1
1184253,?,?,?,8,?,?,6,1
1940085,?,?,?,?,?,?,2,0
1940085,?,?,?,?,0,?,5,0
1712739,?,?,?,?,?,?,2,1
1712739,?,?,?,?,9,?,5,1
1824440,?,?,?,?,?,?,2,1
1824440,?,?,?,?,8,?,5,1
1383543,?,?,?,?,?,?,2,1
1383543,?,?,?,2,?,?,6,1
517373,?,?,?,?,?,?,2,1
517373,?,?,?,1,?,?,6,1
1755047,?,?,?,?,?,?,2,0
1755047,?,?,?,8,?,?,6,0
1056518,?,?,?,?,?,?,2,0
1056518,?,?,?,?,7,?,5,0
431475,?,?,?,?,?,?,2,0
431475,?,?,?,9,?,?,6,0
814823,?,?,?,?,?,?,2,1
814823,?,?,?,?,3,?,5,1
991066,?,?,?,?,?,?,2,1
991066,?,?,?,4,?,?,6,1
1851512,?,?,?,?,?,?,2,0
1851512,?,?,?,?,0,?,5,0
1873939,?,?,?,?,?,?,2,0
1873939,?,?,?,3,?,?,6,0
1929302,?,?,?,?,?,?,2,0
1929302,?,?,?,?,2,?,5,0
1587758,?,?,?,?,?,?,2,0
1587758,?,?,?,?,2,?,5,0
1850772,?,?,?,?,?,?,2,1
1850772,?,?,?,8,?,?,6,1
1624657,?,?,?,?,?,?,2,1
1624657,?,?,?,?,5,?,5,1
?,?,?,41,?,?,?,4,0
?,4936904,?,41,?,?,?,1,0
1083137,?,?,?,?,?,?,2,1
1083137,?,?,?,?,8,?,5,1
1855879,?,?,?,?,?,?,2,0
1855879,?,?,?,0,?,?,6,0
1351,?,?,?,?,?,?,2,1
1351,?,?,?,7,?,?,6,1
219455,?,?,?,?,?,?,2,1
219455,?,?,?,?,3,?,5,1
1364334,?,?,?,?,?,?,2,1
1364334,?,?,?,?,6,?,5,1
1952149,?,?,?,?,?,?,2,1
1952149,?,?,?,?,1,?,5,1
?,577177,?,?,?,?,?,1,0
?,2590891,?,?,?,?,?,1,0
?,577177,?,?,?,?,3,7,0
783932,?,?,?,?,?,?,2,1
783932,?,?,?,3,?,?,6,1
1038493,?,?,?,?,?,?,2,1
1038493,?,?,?,?,6,?,5,1
185487,?,?,?,?,?,?,2,0
185487,?,?,?,?,7,?,5,0
1981159,?,?,?,?,?,?,2,0
1981159,?,?,?,?,9,?,5,0
1055773,?,8,?,?,?,?,2,0
?,5841776,?,?,?,?,?,1,0
?,5068663,?,?,?,?,?,1,0
?,5841776,?,?,?,?,3,7,0
965020,?,?,?,?,?,?,2,0
965020,?,?,?,?,5,?,5,0
680101,?,?,?,?,?,?,2,0
680101,?,?,?,?,4,?,5,0
1853742,?,?,?,?,?,?,2,0
1853742,?,?,?,?,4,?,5,0
838102,?,?,?,?,?,?,2,1
838102,?,?,?,?,7,?,5,1
126646,?,?,?,?,?,?,2,1
126646,?,?,?,1,?,?,6,1
919624,?,?,?,?,?,?,2,1
919624,?,?,?,3,?,?,6,1
24400,?,?,?,?,?,?,2,1
24400,?,?,?,?,2,?,5,1
1260529,?,?,?,?,?,?,2,0
1260529,?,?,?,8,?,?,6,0
1993643,?,?,?,?,?,?,2,1
1993643,?,?,?,0,?,?,6,1
1594176,?,?,?,?,?,?,2,1
1594176,?,?,?,2,?,?,6,1
1354403,?,?,?,?,?,?,2,0
1354403,?,?,?,?,3,?,5,0
1992504,?,?,?,?,?,?,2,1
1992504,?,?,?,3,?,?,6,1
693955,?,?,?,?,?,?,2,1
693955,?,?,?,1,?,?,6,1
1780025,?,?,?,?,?,?,2,1
1780025,?,?,?,3,?,?,6,1
789283,?,?,?,?,?,?,2,0
789283,?,?,?,?,3,?,5,0
1389315,?,?,?,?,?,?,2,0
1389315,?,?,?,?,5,?,5,0
1788363,?,?,?,?,?,?,2,1
1788363,?,?,?,?,8,?,5,1
1413354,?,?,?,?,?,?,2,1
1413354,?,?,?,0,?,?,6,1
1386310,?,?,?,?,?,?,2,0
1386310,?,?,?,?,1,?,5,0
1072984,?,?,?,?,?,?,2,0
1072984,?,?,?,?,1,?,5,0
1458551,?,?,?,?,?,?,2,0
1458551,?,?,?,1,?,?,6,0
886971,?,?,?,?,?,?,2,1
886971,?,?,?,?,7,?,5,1
182046,?,?,?,?,?,?,2,1
182046,?,?,?,?,5,?,5,1
1913821,?,?,?,?,?,?,2,0
1913821,?,?,?,?,0,?,5,0
456067,?,?,?,?,?,?,2,0
456067,?,?,?,?,8,?,5,0
50985,?,?,?,?,?,?,2,0
50985,?,?,?,?,3,?,5,0
?,?,14,?,?,?,?,3,1
606260,?,14,?,?,?,?,2,1
1546258,?,?,?,?,?,?,2,0
1546258,?,?,?,?,7,?,5,0
1949887,?,?,?,?,?,?,2,0
1949887,?,?,?,?,5,?,5,0
591189,?,?,?,?,?,?,2,0
591189,?,?,?,?,1,?,5,0
729692,?,?,?,?,?,?,2,1
729692,?,?,?,?,1,?,5,1
1850909,?,?,?,?,?,?,2,1
1850909,?,?,?,2,?,?,6,1
?,1199536,?,?,?,?,?,1,0
?,2302478,?,?,?,?,?,1,0
?,1199536,?,?,?,?,1,7,0
1774801,?,?,?,?,?,?,2,1
1774801,?,?,?,1,?,?,6,1
?,634333,?,?,?,?,?,1,0
?,4658152,?,?,?,?,?,1,0
?,634333,?,?,?,?,4,7,0
641101,?,?,?,?,?,?,2,1
641101,?,?,?,?,6,?,5,1
1215242,?,?,?,?,?,?,2,0
1215242,?,?,?,1,?,?,6,0
1551716,?,?,?,?,?,?,2,0
1551716,?,?,?,4,?,?,6,0
176188,?,?,?,?,?,?,2,1
176188,?,?,?,7,?,?,6,1
766289,?,?,?,?,?,?,2,0
766289,?,?,?,0,?,?,6,0
341755,?,?,?,?,?,?,2,1
341755,?,?,?,?,7,?,5,1
875510,?,?,?,?,?,?,2,0
875510,?,?,?,4,?,?,6,0
621666,?,?,?,?,?,?,2,0
621666,?,?,?,?,5,?,5,0
722384,?,?,?,?,?,?,2,1
722384,?,?,?,?,6,?,5,1
1892044,?,?,?,?,?,?,2,0
1892044,?,?,?,0,?,?,6,0
1153929,?,?,?,?,?,?,2,1
1153929,?,?,?,0,?,?,6,1
149613,?,?,?,?,?,?,2,1
149613,?,?,?,?,1,?,5,1
1040037,?,?,?,?,?,?,2,1
1040037,?,?,?,?,9,?,5,1
833180,?,?,?,?,?,?,2,1
833180,?,?,?,8,?,?,6,1
1987019,?,?,?,?,?,?,2,1
1987019,?,?,?,6,?,?,6,1
1984401,?,?,?,?,?,?,2,1
1984401,?,?,?,?,9,?,5,1
871536,?,?,?,?,?,?,2,1
871536,?,?,?,9,?,?,6,1
1293311,?,?,?,?,?,?,2,0
1293311,?,?,?,?,2,?,5,0
210752,?,?,?,?,?,?,2,0
210752,?,?,?,6,?,?,6,0
1313892,?,?,?,?,?,?,2,0
1313892,?,?,?,4,?,?,6,0
191552,?,?,?,?,?,?,2,0
191552,?,?,?,?,9,?,5,0
205675,?,?,?,?,?,?,2,1
205675,?,?,?,?,9,?,5,1
1637448,?,?,?,?,?,?,2,1
1637448,?,?,?,?,1,?,5,1
1973987,?,?,?,?,?,?,2,1
1973987,?,?,?,?,1,?,5,1
?,?,?,30,?,?,?,4,0
?,1095264,?,30,?,?,?,1,0
1300797,?,?,?,?,?,?,2,0
1300797,?,?,?,?,1,?,5,0
549450,?,?,?,?,?,?,2,0
549450,?,?,?,?,4,?,5,0
678738,?,?,?,?,?,?,2,0
678738,?,?,?,1,?,?,6,0
1550327,?,?,?,?,?,?,2,0
1550327,?,?,?,?,9,?,5,0
1407507,?,?,?,?,?,?,2,0
1407507,?,?,?,?,4,?,5,0
?,?,16,?,?,?,?,3,0
892662,?,16,?,?,?,?,2,0
?,?,?,43,?,?,?,4,0
?,5645277,?,43,?,?,?,1,0
355373,?,14,?,?,?,?,2,1
50111,?,?,?,?,?,?,2,1
50111,?,?,?,?,4,?,5,1
934428,?,?,?,?,?,?,2,1
934428,?,?,?,8,?,?,6,1
104043,?,?,?,?,?,?,2,0
104043,?,?,?,?,8,?,5,0
1278351,?,?,?,?,?,?,2,1
1278351,?,?,?,5,?,?,6,1
328568,?,?,?,?,?,?,2,1
328568,?,?,?,?,9,?,5,1
233268,?,?,?,?,?,?,2,0
233268,?,?,?,0,?,?,6,0
1875586,?,?,?,?,?,?,2,0
1875586,?,?,?,?,6,?,5,0
1737763,?,?,?,?,?,?,2,1
1737763,?,?,?,?,4,?,5,1
866646,?,?,?,?,?,?,2,1
866646,?,?,?,3,?,?,6,1
130775,?,?,?,?,?,?,2,1
130775,?,?,?,?,2,?,5,1
1388094,?,?,?,?,?,?,2,0
1388094,?,?,?,8,?,?,6,0
1645012,?,?,?,?,?,?,2,0
1645012,?,?,?,0,?,?,6,0
316296,?,?,?,?,?,?,2,0
316296,?,?,?,0,?,?,6,0
1309897,?,?,?,?,?,?,2,0
1309897,?,?,?,?,9,?,5,0
432225,?,?,?,?,?,?,2,1
432225,?,?,?,5,?,?,6,1
286875,?,?,?,?,?,?,2,1
286875,?,?,?,4,?,?,6,1
1023414,?,?,?,?,?,?,2,0
1023414,?,?,?,1,?,?,6,0
?,4038663,?,?,?,?,?,1,0
?,3762651,?,?,?,?,?,1,0
?,4038663,?,?,?,?,4,7,0
760337,?,?,?,?,?,?,2,0
760337,?,?,?,2,?,?,6,0
1539580,?,?,?,?,?,?,2,0
1539580,?,?,?,0,?,?,6,0
1736517,?,?,?,?,?,?,2,0
1736517,?,?,?,6,?,?,6,0
1583188,?,?,?,?,?,?,2,0
1583188,?,?,?,?,1,?,5,0
1055804,?,?,?,?,?,?,2,0
1055804,?,?,?,9,?,?,6,0
64072,?,?,?,?,?,?,2,1
64072,?,?,?,4,?,?,6,1
?,?,0,?,?,?,?,3,0
1903951,?,0,?,?,?,?,2,0
?,5218246,?,?,?,?,?,1,0
?,3659340,?,?,?,?,?,1,0
?,5218246,?,?,?,?,4,7,0
864281,?,?,?,?,?,?,2,1
864281,?,?,?,?,4,?,5,1
584624,?,?,?,?,?,?,2,1
584624,?,?,?,?,7,?,5,1
1199456,?,?,?,?,?,?,2,1
1199456,?,?,?,6,?,?,6,1
1208578,?,?,?,?,?,?,2,0
1208578,?,?,?,?,7,?,5,0
1590081,?,?,?,?,?,?,2,1
1590081,?,?,?,0,?,?,6,1
1613463,?,?,?,?,?,?,2,0
1613463,?,?,?,9,?,?,6,0
76117,?,?,?,?,?,?,2,0
76117,?,?,?,5,?,?,6,0
1365561,?,?,?,?,?,?,2,1
1365561,?,?,?,5,?,?,6,1
?,?,?,25,?,?,?,4,1
?,3952655,?,25,?,?,?,1,1
1498783,?,7,?,?,?,?,2,1
1301162,?,?,?,?,?,?,2,1
1301162,?,?,?,8,?,?,6,1
397846,?,?,?,?,?,?,2,0
397846,?,?,?,?,7,?,5,0
1719532,?,?,?,?,?,?,2,1
1719532,?,?,?,?,5,?,5,1
224987,?,?,?,?,?,?,2,0
224987,?,?,?,2,?,?,6,0
?,4315628,?,?,?,?,?,1,0
?,2766223,?,?,?,?,?,1,0
?,4315628,?,?,?,?,2,7,0
277128,?,?,?,?,?,?,2,1
277128,?,?,?,?,3,?,5,1
321829,?,?,?,?,?,?,2,0
321829,?,?,?,?,8,?,5,0
1515606,?,?,?,?,?,?,2,1
1515606,?,?,?,?,0,?,5,1
882669,?,?,?,?,?,?,2,1
882669,?,?,?,9,?,?,6,1
?,4296503,?,?,?,?,?,1,1
?,4809270,?,?,?,?,?,1,1
?,4296503,?,?,?,?,9,7,1
615125,?,?,?,?,?,?,2,1
615125,?,?,?,?,9,?,5,1
639987,?,?,?,?,?,?,2,0
639987,?,?,?,?,1,?,5,0
?,3066263,?,?,?,?,?,1,0
?,5450820,?,?,?,?,?,1,0
?,3066263,?,?,?,?,4,7,0
307015,?,?,?,?,?,?,2,1
307015,?,?,?,6,?,?,6,1
1649280,?,?,?,?,?,?,2,1
1649280,?,?,?,?,7,?,5,1
331875,?,?,?,?,?,?,2,1
331875,?,?,?,0,?,?,6,1
1300775,?,?,?,?,?,?,2,1
1300775,?,?,?,?,1,?,5,1
209351,?,?,?,?,?,?,2,0
209351,?,?,?,3,?,?,6,0
170609,?,?,?,?,?,?,2,0
170609,?,?,?,?,6,?,5,0
49779,?,?,?,?,?,?,2,1
49779,?,?,?,3,?,?,6,1
869453,?,?,?,?,?,?,2,0
869453,?,?,?,9,?,?,6,0
553348,?,?,?,?,?,?,2,1
553348,?,?,?,9,?,?,6,1
16464,?,?,?,?,?,?,2,0
16464,?,?,?,2,?,?,6,0
29804,?,?,?,?,?,?,2,0
29804,?,?,?,?,6,?,5,0
690682,?,?,?,?,?,?,2,0
690682,?,?,?,?,0,?,5,0
1668933,?,?,?,?,?,?,2,0
1668933,?,?,?,?,4,?,5,0
414850,?,?,?,?,?,?,2,1
414850,?,?,?,?,8,?,5,1
1270021,?,?,?,?,?,?,2,1
1270021,?,?,?,?,5,?,5,1
61348,?,?,?,?,?,?,2,0
61348,?,?,?,3,?,?,6,0
699287,?,?,?,?,?,?,2,0
699287,?,?,?,?,1,?,5,0
868519,?,?,?,?,?,?,2,1
868519,?,?,?,?,1,?,5,1
772903,?,?,?,?,?,?,2,1
772903,?,?,?,?,7,?,5,1
