i,u,c,r,y,d,t,table,class
479385,?,?,?,?,?,?,2,0
479385,?,?,?,3,?,?,6,0
802448,?,?,?,?,?,?,2,1
802448,?,?,?,8,?,?,6,1
1135914,?,?,?,?,?,?,2,1
1135914,?,?,?,3,?,?,6,1
?,1208239,?,?,?,?,?,1,0
?,5444865,?,?,?,?,?,1,0
?,1208239,?,?,?,?,6,7,0
1583944,?,?,?,?,?,?,2,0
1583944,?,?,?,7,?,?,6,0
?,?,?,31,?,?,?,4,1
?,689704,?,31,?,?,?,1,1
237042,?,?,?,?,?,?,2,1
237042,?,?,?,?,0,?,5,1
1199055,?,?,?,?,?,?,2,1
1199055,?,?,?,?,7,?,5,1
?,?,?,6,?,?,?,4,1
?,4365683,?,6,?,?,?,1,1
1447927,?,?,?,?,?,?,2,0
1447927,?,?,?,?,1,?,5,0
1997889,?,?,?,?,?,?,2,0
1997889,?,?,?,?,2,?,5,0
?,?,?,24,?,?,?,4,0
?,2747781,?,24,?,?,?,1,0
408903,?,?,?,?,?,?,2,1
408903,?,?,?,?,2,?,5,1
928162,?,?,?,?,?,?,2,1
928162,?,?,?,9,?,?,6,1
955435,?,?,?,?,?,?,2,0
955435,?,?,?,?,0,?,5,0
1036535,?,?,?,?,?,?,2,0
1036535,?,?,?,0,?,?,6,0
634710,?,?,?,?,?,?,2,0
634710,?,?,?,?,3,?,5,0
290584,?,?,?,?,?,?,2,1
290584,?,?,?,6,?,?,6,1
1478731,?,?,?,?,?,?,2,1
1478731,?,?,?,?,0,?,5,1
1270688,?,?,?,?,?,?,2,0
1270688,?,?,?,1,?,?,6,0
391366,?,?,?,?,?,?,2,1
391366,?,?,?,8,?,?,6,1
1509737,?,?,?,?,?,?,2,1
1509737,?,?,?,?,9,?,5,1
865983,?,?,?,?,?,?,2,1
865983,?,?,?,?,0,?,5,1
1001321,?,4,?,?,?,?,2,0
?,4058153,?,?,?,?,?,1,1
?,1466801,?,?,?,?,?,1,1
?,4058153,?,?,?,?,2,7,1
942119,?,?,?,?,?,?,2,0
942119,?,?,?,?,5,?,5,0
?,1258954,?,?,?,?,?,1,1
?,306185,?,?,?,?,?,1,1
?,1258954,?,?,?,?,9,7,1
758021,?,?,?,?,?,?,2,1
758021,?,?,?,7,?,?,6,1
701498,?,?,?,?,?,?,2,1
701498,?,?,?,6,?,?,6,1
592941,?,?,?,?,?,?,2,1
592941,?,?,?,3,?,?,6,1
1061973,?,?,?,?,?,?,2,0
1061973,?,?,?,0,?,?,6,0
1537909,?,?,?,?,?,?,2,1
1537909,?,?,?,?,7,?,5,1
1061215,?,?,?,?,?,?,2,1
1061215,?,?,?,?,3,?,5,1
1325305,?,?,?,?,?,?,2,1
1325305,?,?,?,4,?,?,6,1
1346924,?,?,?,?,?,?,2,1
1346924,?,?,?,?,4,?,5,1
1707534,?,?,?,?,?,?,2,1
1707534,?,?,?,?,0,?,5,1
1793206,?,?,?,?,?,?,2,1
1793206,?,?,?,?,6,?,5,1
767097,?,?,?,?,?,?,2,1
767097,?,?,?,2,?,?,6,1
876920,?,?,?,?,?,?,2,1
876920,?,?,?,6,?,?,6,1
52210,?,?,?,?,?,?,2,1
52210,?,?,?,?,0,?,5,1
589421,?,?,?,?,?,?,2,1
589421,?,?,?,6,?,?,6,1
1818067,?,?,?,?,?,?,2,0
1818067,?,?,?,?,6,?,5,0
552414,?,?,?,?,?,?,2,1
552414,?,?,?,?,8,?,5,1
1833667,?,?,?,?,?,?,2,0
1833667,?,?,?,5,?,?,6,0
36214,?,?,?,?,?,?,2,1
36214,?,?,?,?,8,?,5,1
1219974,?,?,?,?,?,?,2,1
1219974,?,?,?,?,7,?,5,1
709115,?,?,?,?,?,?,2,1
709115,?,?,?,3,?,?,6,1
1056638,?,?,?,?,?,?,2,1
1056638,?,?,?,2,?,?,6,1
1061895,?,?,?,?,?,?,2,0
1061895,?,?,?,9,?,?,6,0
?,1211755,?,15,?,?,?,1,0
1419684,?,?,?,?,?,?,2,0
1419684,?,?,?,2,?,?,6,0
722398,?,?,?,?,?,?,2,0
722398,?,?,?,?,9,?,5,0
202358,?,?,?,?,?,?,2,1
202358,?,?,?,1,?,?,6,1
349838,?,?,?,?,?,?,2,1
349838,?,?,?,?,4,?,5,1
204963,?,?,?,?,?,?,2,1
204963,?,?,?,3,?,?,6,1
1396922,?,?,?,?,?,?,2,1
1396922,?,?,?,5,?,?,6,1
574041,?,?,?,?,?,?,2,1
574041,?,?,?,0,?,?,6,1
971049,?,?,?,?,?,?,2,1
971049,?,?,?,?,1,?,5,1
566257,?,?,?,?,?,?,2,1
566257,?,?,?,?,0,?,5,1
204557,?,?,?,?,?,?,2,1
204557,?,?,?,3,?,?,6,1
894476,?,?,?,?,?,?,2,0
894476,?,?,?,?,0,?,5,0
?,4704594,?,?,?,?,?,1,0
?,3669094,?,?,?,?,?,1,0
?,4704594,?,?,?,?,8,7,0
1617296,?,?,?,?,?,?,2,0
1617296,?,?,?,1,?,?,6,0
699313,?,?,?,?,?,?,2,1
699313,?,?,?,?,1,?,5,1
1987052,?,?,?,?,?,?,2,1
1987052,?,?,?,3,?,?,6,1
1296813,?,?,?,?,?,?,2,0
1296813,?,?,?,4,?,?,6,0
1829739,?,?,?,?,?,?,2,0
1829739,?,?,?,?,6,?,5,0
1167510,?,?,?,?,?,?,2,1
1167510,?,?,?,4,?,?,6,1
497743,?,?,?,?,?,?,2,1
497743,?,?,?,0,?,?,6,1
1344928,?,?,?,?,?,?,2,1
1344928,?,?,?,6,?,?,6,1
609093,?,?,?,?,?,?,2,1
609093,?,?,?,4,?,?,6,1
1392993,?,?,?,?,?,?,2,1
1392993,?,?,?,4,?,?,6,1
374354,?,?,?,?,?,?,2,1
374354,?,?,?,9,?,?,6,1
1444542,?,?,?,?,?,?,2,1
1444542,?,?,?,8,?,?,6,1
381335,?,?,?,?,?,?,2,1
381335,?,?,?,?,5,?,5,1
1145391,?,?,?,?,?,?,2,1
1145391,?,?,?,2,?,?,6,1
288162,?,10,?,?,?,?,2,0
?,?,?,48,?,?,?,4,1
?,3037003,?,48,?,?,?,1,1
1003383,?,?,?,?,?,?,2,1
1003383,?,?,?,?,3,?,5,1
1546083,?,?,?,?,?,?,2,1
1546083,?,?,?,?,3,?,5,1
1249849,?,?,?,?,?,?,2,0
1249849,?,?,?,4,?,?,6,0
812151,?,?,?,?,?,?,2,1
812151,?,?,?,?,3,?,5,1
819446,?,?,?,?,?,?,2,0
819446,?,?,?,7,?,?,6,0
529577,?,?,?,?,?,?,2,0
529577,?,?,?,?,4,?,5,0
620613,?,?,?,?,?,?,2,0
620613,?,?,?,3,?,?,6,0
119396,?,?,?,?,?,?,2,1
119396,?,?,?,?,6,?,5,1
502719,?,?,?,?,?,?,2,0
502719,?,?,?,?,2,?,5,0
?,?,?,45,?,?,?,4,0
?,2240407,?,45,?,?,?,1,0
1898975,?,?,?,?,?,?,2,1
1898975,?,?,?,?,9,?,5,1
1136623,?,?,?,?,?,?,2,0
1136623,?,?,?,?,4,?,5,0
1708449,?,?,?,?,?,?,2,0
1708449,?,?,?,0,?,?,6,0
1531045,?,?,?,?,?,?,2,1
1531045,?,?,?,1,?,?,6,1
264118,?,?,?,?,?,?,2,0
264118,?,?,?,?,4,?,5,0
1604134,?,?,?,?,?,?,2,0
1604134,?,?,?,5,?,?,6,0
794969,?,?,?,?,?,?,2,1
794969,?,?,?,?,7,?,5,1
331933,?,?,?,?,?,?,2,1
331933,?,?,?,5,?,?,6,1
857545,?,?,?,?,?,?,2,1
857545,?,?,?,7,?,?,6,1
1363442,?,?,?,?,?,?,2,1
1363442,?,?,?,?,0,?,5,1
1460550,?,?,?,?,?,?,2,0
1460550,?,?,?,2,?,?,6,0
?,4078496,?,18,?,?,?,1,1
109015,?,?,?,?,?,?,2,1
109015,?,?,?,?,0,?,5,1
1446999,?,?,?,?,?,?,2,1
1446999,?,?,?,2,?,?,6,1
?,3884491,?,?,?,?,?,1,0
?,5163871,?,?,?,?,?,1,0
?,3884491,?,?,?,?,7,7,0
?,4644513,?,15,?,?,?,1,0
1511332,?,?,?,?,?,?,2,1
1511332,?,?,?,9,?,?,6,1
1646745,?,?,?,?,?,?,2,0
1646745,?,?,?,?,5,?,5,0
1483215,?,?,?,?,?,?,2,0
1483215,?,?,?,?,0,?,5,0
303399,?,?,?,?,?,?,2,1
303399,?,?,?,?,8,?,5,1
1408518,?,?,?,?,?,?,2,0
1408518,?,?,?,1,?,?,6,0
511615,?,?,?,?,?,?,2,0
511615,?,?,?,1,?,?,6,0
1520360,?,?,?,?,?,?,2,0
1520360,?,?,?,2,?,?,6,0
?,4173720,?,?,?,?,?,1,1
?,3322319,?,?,?,?,?,1,1
?,4173720,?,?,?,?,7,7,1
1249900,?,?,?,?,?,?,2,1
1249900,?,?,?,4,?,?,6,1
23060,?,?,?,?,?,?,2,1
23060,?,?,?,?,4,?,5,1
481223,?,?,?,?,?,?,2,1
481223,?,?,?,?,7,?,5,1
633688,?,?,?,?,?,?,2,1
633688,?,?,?,?,8,?,5,1
298431,?,?,?,?,?,?,2,0
298431,?,?,?,0,?,?,6,0
1813971,?,?,?,?,?,?,2,0
1813971,?,?,?,?,4,?,5,0
1021642,?,?,?,?,?,?,2,1
1021642,?,?,?,8,?,?,6,1
256092,?,?,?,?,?,?,2,0
256092,?,?,?,?,3,?,5,0
265645,?,?,?,?,?,?,2,0
265645,?,?,?,7,?,?,6,0
1855522,?,?,?,?,?,?,2,0
1855522,?,?,?,?,0,?,5,0
1023187,?,?,?,?,?,?,2,0
1023187,?,?,?,?,0,?,5,0
1643636,?,?,?,?,?,?,2,0
1643636,?,?,?,2,?,?,6,0
820480,?,?,?,?,?,?,2,0
820480,?,?,?,?,0,?,5,0
238311,?,?,?,?,?,?,2,0
238311,?,?,?,?,3,?,5,0
1277768,?,?,?,?,?,?,2,0
1277768,?,?,?,?,8,?,5,0
1169013,?,?,?,?,?,?,2,0
1169013,?,?,?,6,?,?,6,0
1353940,?,?,?,?,?,?,2,1
1353940,?,?,?,?,6,?,5,1
1871336,?,?,?,?,?,?,2,1
1871336,?,?,?,?,5,?,5,1
833484,?,?,?,?,?,?,2,1
833484,?,?,?,?,5,?,5,1
1154117,?,?,?,?,?,?,2,1
1154117,?,?,?,?,7,?,5,1
450158,?,?,?,?,?,?,2,1
450158,?,?,?,2,?,?,6,1
742071,?,?,?,?,?,?,2,1
742071,?,?,?,?,2,?,5,1
368626,?,?,?,?,?,?,2,1
368626,?,?,?,6,?,?,6,1
1305949,?,?,?,?,?,?,2,0
1305949,?,?,?,?,3,?,5,0
1928205,?,?,?,?,?,?,2,0
1928205,?,?,?,7,?,?,6,0
647256,?,?,?,?,?,?,2,1
647256,?,?,?,5,?,?,6,1
1053709,?,?,?,?,?,?,2,0
1053709,?,?,?,?,4,?,5,0
1738915,?,?,?,?,?,?,2,1
1738915,?,?,?,?,7,?,5,1
334367,?,?,?,?,?,?,2,1
334367,?,?,?,3,?,?,6,1
?,?,?,49,?,?,?,4,1
?,5980496,?,49,?,?,?,1,1
1425041,?,?,?,?,?,?,2,0
1425041,?,?,?,2,?,?,6,0
184378,?,?,?,?,?,?,2,0
184378,?,?,?,4,?,?,6,0
321584,?,?,?,?,?,?,2,0
321584,?,?,?,2,?,?,6,0
1593561,?,7,?,?,?,?,2,1
1494255,?,?,?,?,?,?,2,0
1494255,?,?,?,8,?,?,6,0
1211786,?,?,?,?,?,?,2,1
1211786,?,?,?,?,0,?,5,1
?,?,?,54,?,?,?,4,1
?,1532129,?,54,?,?,?,1,1
1886861,?,?,?,?,?,?,2,0
1886861,?,?,?,6,?,?,6,0
1611937,?,?,?,?,?,?,2,0
1611937,?,?,?,?,5,?,5,0
1672163,?,?,?,?,?,?,2,0
1672163,?,?,?,?,6,?,5,0
540505,?,?,?,?,?,?,2,1
540505,?,?,?,?,1,?,5,1
1263437,?,?,?,?,?,?,2,1
1263437,?,?,?,?,9,?,5,1
344525,?,?,?,?,?,?,2,1
344525,?,?,?,0,?,?,6,1
1914168,?,?,?,?,?,?,2,1
1914168,?,?,?,?,9,?,5,1
751316,?,?,?,?,?,?,2,0
751316,?,?,?,?,2,?,5,0
?,3752991,?,?,?,?,?,1,1
?,1188260,?,?,?,?,?,1,1
?,3752991,?,?,?,?,2,7,1
?,4590782,?,?,?,?,?,1,1
?,2643426,?,?,?,?,?,1,1
?,4590782,?,?,?,?,2,7,1
797010,?,?,?,?,?,?,2,0
797010,?,?,?,?,5,?,5,0
1187898,?,?,?,?,?,?,2,0
1187898,?,?,?,?,5,?,5,0
1427334,?,?,?,?,?,?,2,0
1427334,?,?,?,5,?,?,6,0
626874,?,?,?,?,?,?,2,0
626874,?,?,?,?,0,?,5,0
339342,?,?,?,?,?,?,2,1
339342,?,?,?,7,?,?,6,1
?,?,1,?,?,?,?,3,1
1690622,?,1,?,?,?,?,2,1
1891700,?,?,?,?,?,?,2,1
1891700,?,?,?,?,2,?,5,1
50846,?,?,?,?,?,?,2,1
50846,?,?,?,?,4,?,5,1
1090089,?,?,?,?,?,?,2,1
1090089,?,?,?,9,?,?,6,1
495330,?,?,?,?,?,?,2,1
495330,?,?,?,4,?,?,6,1
325528,?,0,?,?,?,?,2,0
1486084,?,?,?,?,?,?,2,1
1486084,?,?,?,9,?,?,6,1
1454443,?,?,?,?,?,?,2,0
1454443,?,?,?,?,7,?,5,0
1331318,?,?,?,?,?,?,2,0
1331318,?,?,?,3,?,?,6,0
898616,?,?,?,?,?,?,2,1
898616,?,?,?,?,5,?,5,1
1263660,?,?,?,?,?,?,2,1
1263660,?,?,?,?,1,?,5,1
603948,?,?,?,?,?,?,2,1
603948,?,?,?,6,?,?,6,1
1007311,?,?,?,?,?,?,2,0
1007311,?,?,?,?,2,?,5,0
1792413,?,?,?,?,?,?,2,1
1792413,?,?,?,4,?,?,6,1
?,1956008,?,?,?,?,?,1,0
?,5486216,?,?,?,?,?,1,0
?,1956008,?,?,?,?,7,7,0
723002,?,?,?,?,?,?,2,1
723002,?,?,?,4,?,?,6,1
1538852,?,?,?,?,?,?,2,0
1538852,?,?,?,?,8,?,5,0
1834714,?,?,?,?,?,?,2,1
1834714,?,?,?,?,7,?,5,1
1486230,?,?,?,?,?,?,2,1
1486230,?,?,?,1,?,?,6,1
627879,?,?,?,?,?,?,2,1
627879,?,?,?,1,?,?,6,1
536190,?,?,?,?,?,?,2,1
536190,?,?,?,?,6,?,5,1
1163404,?,?,?,?,?,?,2,0
1163404,?,?,?,0,?,?,6,0
70559,?,?,?,?,?,?,2,1
70559,?,?,?,4,?,?,6,1
763927,?,?,?,?,?,?,2,0
763927,?,?,?,8,?,?,6,0
1320446,?,?,?,?,?,?,2,0
1320446,?,?,?,3,?,?,6,0
422963,?,?,?,?,?,?,2,1
422963,?,?,?,0,?,?,6,1
1688360,?,15,?,?,?,?,2,1
1825490,?,?,?,?,?,?,2,1
1825490,?,?,?,?,1,?,5,1
210962,?,?,?,?,?,?,2,1
210962,?,?,?,?,8,?,5,1
?,?,13,?,?,?,?,3,1
107889,?,13,?,?,?,?,2,1
1731100,?,?,?,?,?,?,2,0
1731100,?,?,?,?,1,?,5,0
1448819,?,?,?,?,?,?,2,0
1448819,?,?,?,?,9,?,5,0
1571373,?,?,?,?,?,?,2,0
1571373,?,?,?,?,7,?,5,0
703328,?,?,?,?,?,?,2,1
703328,?,?,?,5,?,?,6,1
757119,?,?,?,?,?,?,2,0
757119,?,?,?,?,1,?,5,0
250698,?,?,?,?,?,?,2,0
250698,?,?,?,1,?,?,6,0
504755,?,?,?,?,?,?,2,1
504755,?,?,?,3,?,?,6,1
907665,?,?,?,?,?,?,2,1
907665,?,?,?,0,?,?,6,1
309702,?,?,?,?,?,?,2,1
309702,?,?,?,0,?,?,6,1
?,2264508,?,25,?,?,?,1,1
626032,?,?,?,?,?,?,2,1
626032,?,?,?,6,?,?,6,1
983682,?,?,?,?,?,?,2,1
983682,?,?,?,?,4,?,5,1
1674731,?,?,?,?,?,?,2,1
1674731,?,?,?,8,?,?,6,1
1853523,?,?,?,?,?,?,2,1
1853523,?,?,?,?,7,?,5,1
927532,?,?,?,?,?,?,2,0
927532,?,?,?,0,?,?,6,0
1361598,?,?,?,?,?,?,2,1
1361598,?,?,?,5,?,?,6,1
?,2631782,?,?,?,?,?,1,1
?,2537720,?,?,?,?,?,1,1
?,2631782,?,?,?,?,8,7,1
1660942,?,?,?,?,?,?,2,0
1660942,?,?,?,?,4,?,5,0
1450647,?,?,?,?,?,?,2,1
1450647,?,?,?,?,5,?,5,1
953573,?,?,?,?,?,?,2,1
953573,?,?,?,3,?,?,6,1
1735049,?,?,?,?,?,?,2,0
1735049,?,?,?,?,3,?,5,0
668909,?,?,?,?,?,?,2,0
668909,?,?,?,9,?,?,6,0
1332032,?,?,?,?,?,?,2,0
1332032,?,?,?,9,?,?,6,0
1881392,?,?,?,?,?,?,2,0
1881392,?,?,?,?,4,?,5,0
553970,?,?,?,?,?,?,2,0
553970,?,?,?,1,?,?,6,0
1288155,?,?,?,?,?,?,2,1
1288155,?,?,?,?,8,?,5,1
?,?,?,2,?,?,?,4,1
?,3072566,?,2,?,?,?,1,1
1453356,?,?,?,?,?,?,2,0
1453356,?,?,?,?,6,?,5,0
1852803,?,?,?,?,?,?,2,0
1852803,?,?,?,2,?,?,6,0
1786978,?,?,?,?,?,?,2,0
1786978,?,?,?,2,?,?,6,0
1336770,?,?,?,?,?,?,2,0
1336770,?,?,?,?,6,?,5,0
?,5263571,?,?,?,?,?,1,0
?,4442445,?,?,?,?,?,1,0
?,5263571,?,?,?,?,6,7,0
?,1285231,?,?,?,?,?,1,0
?,280257,?,?,?,?,?,1,0
?,1285231,?,?,?,?,4,7,0
574193,?,?,?,?,?,?,2,1
574193,?,?,?,5,?,?,6,1
1277550,?,?,?,?,?,?,2,1
1277550,?,?,?,?,5,?,5,1
1723370,?,?,?,?,?,?,2,0
1723370,?,?,?,2,?,?,6,0
1370650,?,?,?,?,?,?,2,0
1370650,?,?,?,2,?,?,6,0
359888,?,?,?,?,?,?,2,0
359888,?,?,?,3,?,?,6,0
748279,?,?,?,?,?,?,2,0
748279,?,?,?,?,9,?,5,0
1281568,?,?,?,?,?,?,2,1
1281568,?,?,?,?,6,?,5,1
1793877,?,?,?,?,?,?,2,0
1793877,?,?,?,?,6,?,5,0
515162,?,?,?,?,?,?,2,1
515162,?,?,?,1,?,?,6,1
134990,?,?,?,?,?,?,2,1
134990,?,?,?,8,?,?,6,1
1423862,?,?,?,?,?,?,2,1
1423862,?,?,?,?,7,?,5,1
619893,?,?,?,?,?,?,2,0
619893,?,?,?,?,4,?,5,0
251233,?,?,?,?,?,?,2,0
251233,?,?,?,?,9,?,5,0
1723722,?,?,?,?,?,?,2,1
1723722,?,?,?,7,?,?,6,1
1970783,?,?,?,?,?,?,2,1
1970783,?,?,?,4,?,?,6,1
20849,?,?,?,?,?,?,2,0
20849,?,?,?,?,8,?,5,0
1835795,?,?,?,?,?,?,2,0
1835795,?,?,?,?,6,?,5,0
1782107,?,?,?,?,?,?,2,0
1782107,?,?,?,5,?,?,6,0
257059,?,?,?,?,?,?,2,1
257059,?,?,?,7,?,?,6,1
1075635,?,?,?,?,?,?,2,1
1075635,?,?,?,7,?,?,6,1
918302,?,?,?,?,?,?,2,0
918302,?,?,?,?,3,?,5,0
1461399,?,?,?,?,?,?,2,0
1461399,?,?,?,?,2,?,5,0
1346333,?,?,?,?,?,?,2,0
1346333,?,?,?,?,7,?,5,0
26835,?,?,?,?,?,?,2,1
26835,?,?,?,?,2,?,5,1
1541681,?,?,?,?,?,?,2,1
1541681,?,?,?,7,?,?,6,1
1807899,?,?,?,?,?,?,2,1
1807899,?,?,?,9,?,?,6,1
127679,?,?,?,?,?,?,2,0
127679,?,?,?,?,0,?,5,0
1577914,?,?,?,?,?,?,2,0
1577914,?,?,?,5,?,?,6,0
1668728,?,?,?,?,?,?,2,1
1668728,?,?,?,?,9,?,5,1
1800848,?,?,?,?,?,?,2,1
1800848,?,?,?,1,?,?,6,1
317868,?,?,?,?,?,?,2,0
317868,?,?,?,?,7,?,5,0
1080077,?,5,?,?,?,?,2,1
1436114,?,11,?,?,?,?,2,0
958641,?,?,?,?,?,?,2,0
958641,?,?,?,?,0,?,5,0
1377353,?,?,?,?,?,?,2,1
1377353,?,?,?,8,?,?,6,1
159432,?,?,?,?,?,?,2,1
159432,?,?,?,0,?,?,6,1
1366517,?,?,?,?,?,?,2,0
1366517,?,?,?,?,0,?,5,0
1973488,?,?,?,?,?,?,2,0
1973488,?,?,?,3,?,?,6,0
1596172,?,?,?,?,?,?,2,0
1596172,?,?,?,0,?,?,6,0
324779,?,?,?,?,?,?,2,1
324779,?,?,?,?,1,?,5,1
722971,?,?,?,?,?,?,2,1
722971,?,?,?,?,4,?,5,1
468579,?,?,?,?,?,?,2,1
468579,?,?,?,0,?,?,6,1
1333599,?,4,?,?,?,?,2,0
1485113,?,?,?,?,?,?,2,1
1485113,?,?,?,?,2,?,5,1
1200841,?,?,?,?,?,?,2,1
1200841,?,?,?,3,?,?,6,1
894321,?,?,?,?,?,?,2,1
894321,?,?,?,1,?,?,6,1
1220911,?,?,?,?,?,?,2,1
1220911,?,?,?,4,?,?,6,1
290841,?,?,?,?,?,?,2,1
290841,?,?,?,?,2,?,5,1
58946,?,?,?,?,?,?,2,0
58946,?,?,?,2,?,?,6,0
434847,?,?,?,?,?,?,2,0
434847,?,?,?,?,3,?,5,0
1905756,?,?,?,?,?,?,2,1
1905756,?,?,?,4,?,?,6,1
1522018,?,16,?,?,?,?,2,0
442266,?,?,?,?,?,?,2,1
442266,?,?,?,1,?,?,6,1
884482,?,?,?,?,?,?,2,0
884482,?,?,?,?,1,?,5,0
1544652,?,?,?,?,?,?,2,0
1544652,?,?,?,2,?,?,6,0
1381823,?,?,?,?,?,?,2,1
1381823,?,?,?,?,7,?,5,1
594975,?,?,?,?,?,?,2,1
594975,?,?,?,1,?,?,6,1
882862,?,?,?,?,?,?,2,1
882862,?,?,?,?,4,?,5,1
60508,?,?,?,?,?,?,2,1
60508,?,?,?,?,4,?,5,1
1755104,?,?,?,?,?,?,2,0
1755104,?,?,?,?,0,?,5,0
963952,?,?,?,?,?,?,2,0
963952,?,?,?,9,?,?,6,0
946813,?,?,?,?,?,?,2,0
946813,?,?,?,?,8,?,5,0
8750,?,?,?,?,?,?,2,1
8750,?,?,?,?,1,?,5,1
827718,?,?,?,?,?,?,2,1
827718,?,?,?,5,?,?,6,1
1392450,?,3,?,?,?,?,2,1
?,2495265,?,?,?,?,?,1,1
?,1406780,?,?,?,?,?,1,1
?,2495265,?,?,?,?,2,7,1
783393,?,?,?,?,?,?,2,1
783393,?,?,?,0,?,?,6,1
486,?,?,?,?,?,?,2,0
486,?,?,?,8,?,?,6,0
1179718,?,?,?,?,?,?,2,0
1179718,?,?,?,?,6,?,5,0
372625,?,?,?,?,?,?,2,0
372625,?,?,?,1,?,?,6,0
705539,?,?,?,?,?,?,2,0
705539,?,?,?,0,?,?,6,0
526937,?,?,?,?,?,?,2,1
526937,?,?,?,3,?,?,6,1
1960679,?,?,?,?,?,?,2,1
1960679,?,?,?,?,1,?,5,1
?,4063539,?,?,?,?,?,1,1
?,2318169,?,?,?,?,?,1,1
?,4063539,?,?,?,?,5,7,1
1468313,?,?,?,?,?,?,2,0
1468313,?,?,?,4,?,?,6,0
434585,?,?,?,?,?,?,2,0
434585,?,?,?,0,?,?,6,0
1187555,?,?,?,?,?,?,2,0
1187555,?,?,?,0,?,?,6,0
1151419,?,?,?,?,?,?,2,0
1151419,?,?,?,0,?,?,6,0
478503,?,?,?,?,?,?,2,1
478503,?,?,?,4,?,?,6,1
214702,?,?,?,?,?,?,2,0
214702,?,?,?,?,5,?,5,0
1271044,?,?,?,?,?,?,2,0
1271044,?,?,?,3,?,?,6,0
1792764,?,?,?,?,?,?,2,1
1792764,?,?,?,?,7,?,5,1
750899,?,?,?,?,?,?,2,1
750899,?,?,?,2,?,?,6,1
567897,?,?,?,?,?,?,2,1
567897,?,?,?,?,3,?,5,1
?,?,?,23,?,?,?,4,1
?,114316,?,23,?,?,?,1,1
1506348,?,?,?,?,?,?,2,1
1506348,?,?,?,4,?,?,6,1
?,2041766,?,?,?,?,?,1,0
?,4260164,?,?,?,?,?,1,0
?,2041766,?,?,?,?,1,7,0
1169928,?,?,?,?,?,?,2,0
1169928,?,?,?,1,?,?,6,0
336498,?,?,?,?,?,?,2,0
336498,?,?,?,?,1,?,5,0
1664787,?,?,?,?,?,?,2,1
1664787,?,?,?,?,9,?,5,1
465005,?,?,?,?,?,?,2,1
465005,?,?,?,0,?,?,6,1
168937,?,?,?,?,?,?,2,0
168937,?,?,?,5,?,?,6,0
1915464,?,?,?,?,?,?,2,0
1915464,?,?,?,?,8,?,5,0
513906,?,?,?,?,?,?,2,1
513906,?,?,?,?,2,?,5,1
923838,?,?,?,?,?,?,2,1
923838,?,?,?,5,?,?,6,1
380680,?,?,?,?,?,?,2,0
380680,?,?,?,?,9,?,5,0
1083137,?,?,?,2,?,?,6,1
866996,?,?,?,?,?,?,2,0
866996,?,?,?,5,?,?,6,0
1162558,?,?,?,?,?,?,2,0
1162558,?,?,?,?,8,?,5,0
330378,?,?,?,?,?,?,2,0
330378,?,?,?,?,3,?,5,0
292936,?,?,?,?,?,?,2,0
292936,?,?,?,?,7,?,5,0
1331705,?,?,?,?,?,?,2,0
1331705,?,?,?,1,?,?,6,0
1249358,?,?,?,?,?,?,2,1
1249358,?,?,?,?,2,?,5,1
202774,?,?,?,?,?,?,2,0
202774,?,?,?,9,?,?,6,0
1818259,?,?,?,?,?,?,2,0
1818259,?,?,?,3,?,?,6,0
1440681,?,?,?,?,?,?,2,0
1440681,?,?,?,7,?,?,6,0
345941,?,?,?,?,?,?,2,1
345941,?,?,?,?,9,?,5,1
1255175,?,?,?,?,?,?,2,1
1255175,?,?,?,2,?,?,6,1
